Address,AreaName,bedrooms,bathrooms,sqft_living,sqft_lot,floors, price 
"6 Willesden Rd Toronto, ON",Don Valley Village,4,2.75,2060,6659,1,"$322,500.00 "
"#2705 - 70 Temperance St Toronto, ON",Downtown,3,2.5,2300,3060,1.5,"$696,000.00 "
"37 Chapel Park Sq Toronto, ON",Milliken,4,1,1660,34848,1,"$550,000.00 "
"49 Cadillac Ave Toronto, ON",Wilson Heights,4,2,2360,6000,2,"$640,000.00 "
"#711 - 16 Harrison Garden Blvd Toronto, ON",Willowdale,4,1,1220,8075,1,"$240,000.00 "
"#3711 - 11 Brunel Crt Toronto, ON",Downtown,4,2.5,2620,7553,2,"$605,000.00 "
"4 Danube Dr Toronto, ON",Wexford - Maryvale,4,2.5,2570,5520,2,"$625,000.00 "
"#1209 - 35 Finch Ave Toronto, ON",Willowdale,4,2.25,4220,24186,1,"$775,000.00 "
"61 Mayland Tr Hamilton, ON",Hamilton,5,2.75,3595,5639,2,"$861,990.00 "
"48 Evans St Hamilton, ON",Central Hamilton,3,1,1570,2280,2,"$685,000.00 "
"397 East 21st St Hamilton, ON",Burkholme,3,1,1280,9656,1,"$309,000.00 "
"412 Wilson Ave Hamilton, ON",Central Hamilton,3,2.5,3160,13603,2,"$488,000.00 "
"312 WEXFORD AVE S Hamilton, ON",Delta East,3,1,990,8528,1,"$210,490.00 "
"532 FERGUSON AVE N Hamilton, ON",North End East,4,2.5,2290,13416,2,"$785,000.00 "
"52 WILLIAM Street Hamilton, ON",Landsdale,3,1.75,1250,5963,1,"$450,000.00 "
"5 WEST - 174 MOUNTAIN PARK Avenue Hamilton, ON",East Hamilton,3,2.5,2753,65005,1,"$1,350,000.00 "
"374 BERKINDALE Drive Hamilton, ON",Riverdale East,3,1,1190,9199,1,"$228,000.00 "
"15 JOHN Street Hamilton, ON",Central Hamilton,5,2.5,3150,9134,1,"$345,000.00 "
"15 JOHN Street Hamilton, ON",Central Hamilton,3,1.75,1410,4080,1,"$600,000.00 "
"50 ARMSTRONG Avenue Hamilton, ON",McQuesten West,2,1.75,1980,8550,1,"$585,000.00 "
"259 STRATHEARNE Avenue Hamilton, ON",Homeside,5,2.25,2730,6000,1.5,"$920,000.00 "
"210 1490 Bishops Gate Oakville, ON",Glen Abbey,4,2.5,2830,5000,2,"$885,000.00 "
"87 CHISHOLM ST Oakville, ON",Oakville,4,2.5,2250,4495,2,"$292,500.00 "
"6 1267 Dorval Drive Oakville, ON",Oakville,3,2.5,2420,4750,2,"$301,000.00 "
"3153 OLD BRONTE RD N Oakville, ON",Oakville,5,3.25,3250,14342,2,"$951,000.00 "
"121 ELTON PARK Road Oakville, ON",Oakville,4,3,1850,9976,2,"$430,000.00 "
"144 Kerr Street Oakville, ON",Kerr Village,3,2.25,2150,21235,1,"$650,000.00 "
"2491 Hemmford Drive Oakville, ON",West Oak Trails,3,1.75,1260,8400,1,"$289,000.00 "
"104 2338 Taunton Drive Oakville, ON",Uptown Core,3,1.75,2519,8690,2,"$505,000.00 "
"447 DRUMMOND Road Oakville, ON",Oakville,3,1.75,1540,1044,3,"$549,000.00 "
"#427 - 2480 PRINCE MICHAEL DR Oakville, ON",Oakville,3,2.25,1660,6000,1,"$425,000.00 "
"493 DUNDAS ST Oakville, ON",Oakville,3,2.75,2770,3809,1.5,"$317,625.00 "
"3169 Trailside Drive Oakville, ON",Oakville,4,2.5,2720,11049,2,"$975,000.00 "
"2482 Felhaber Crescent Oakville, ON",Oakville,4,2.5,2240,4648,2,"$287,000.00 "
"9 Struthers St Toronto, ON",Mimico,3,1,1000,12070,1,"$204,000.00 "
"1574 Pharmacy Ave Toronto, ON",Wexford - Maryvale,5,2.25,3200,20158,1,"$1,325,000.00 "
"26 Waterbury Dr Toronto, ON",Richview,5,3.25,4770,50094,1,"$1,040,000.00 "
"44 Dewlane Dr Toronto, ON",Newtonbrook,3,2,1260,5612,1,"$325,000.00 "
"#3010 - 65 St  Mary St Toronto, ON",Downtown,4,2,2750,7807,1.5,"$571,000.00 "
"1 Silbury Dr Toronto, ON",Agincourt,4,2.5,2380,5000,2,"$360,000.00 "
"1465A Birchmount Rd Toronto, ON",Dorset Park,3,1.75,1790,50529,1,"$349,000.00 "
"85 Autumn Glen Circ Toronto, ON",Rexdale,4,4,3430,35102,2,"$832,500.00 "
"143 Princess Margaret Blvd Toronto, ON",Princess Margaret,4,1.75,1760,7300,1,"$380,000.00 "
"#9 - 42 Pinery Tr Toronto, ON",Malvern,3,1,1040,5060,1,"$480,000.00 "
"175 Haddington Ave Toronto, ON",Nortown,3,1,1410,5060,1,"$410,000.00 "
"## 911 - 5 Shady Gfwy Toronto, ON",Flemingdon Park,4,2.5,3450,39683,2,"$720,000.00 "
"#1805 - 16 Harrison Garden Blvd Toronto, ON",Willowdale,3,2.5,2350,5100,2,"$390,000.00 "
"68 Kenilworth Ave Toronto, ON",The Beach,4,2.5,1900,5889,2,"$360,000.00 "
"#1505 - 125 Western Battery Rd Toronto, ON",Niagara,2,1,2020,6720,1,"$355,000.00 "
"110 Kirker Ave Toronto, ON",Woburn,3,1.5,1680,8712,1,"$356,000.00 "
"138 Mckee Ave Toronto, ON",Willowdale,3,1,960,6634,1,"$315,000.00 "
"#2403 - 375 King St Toronto, ON",Downtown,3,1.5,2140,3600,2,"$940,000.00 "
"22 Strathearn Blvd Toronto, ON",Midtown Toronto,5,2.25,2660,8400,1.5,"$305,000.00 "
"5051 Finch Ave Toronto, ON",Bridlewood,3,3.25,2770,6278,2,"$461,000.00 "
"#406 - 300 Manitoba St Toronto, ON",Mimico,2,2.25,1610,2040,2,"$215,000.00 "
"#1901 - 231 Fort York Blvd Toronto, ON",Niagara,2,1.75,1030,1066,2,"$335,000.00 "
"#1010 - 65 East Liberty St Toronto, ON",Liberty Village,4,2.5,1980,7403,2,"$243,500.00 "
"#3706 - 15 Fort York Blvd Toronto, ON",Downtown,5,2.75,3520,6353,2,"$1,099,880.00 "
"#203 - 17 Kenaston Gdns Toronto, ON",Bayview Village,3,1,1200,10500,1,"$153,000.00 "
"#502 - 2 Anndale Dr Toronto, ON",Willowdale,3,1.5,1580,5000,1,"$430,000.00 "
"1060 Midland Ave Toronto, ON",Bendale,3,1.5,1580,5000,1,"$700,000.00 "
"#701 - 3 Massey Sq Toronto, ON",Old East York,4,2.5,3300,10250,1,"$905,000.00 "
"#711 - 33 Singer Crt Toronto, ON",Bayview Village,3,1.75,1960,15681,1,"$247,500.00 "
"70 Dundalk Dr Toronto, ON",Dorset Park,4,1.5,1160,6400,1,"$199,000.00 "
"#1127 - 5 Everson Dr Toronto, ON",Willowdale,3,1.75,1810,41800,1,"$314,000.00 "
"#1501 - 3050 Ellesmere Rd Toronto, ON",Morningside,3,2.5,2320,36847,2,"$437,500.00 "
"112 Helendale Ave Toronto, ON",Midtown Toronto,3,2.5,2070,13241,1.5,"$850,830.00 "
"#2004 - 21 Balmuto St Toronto, ON",Downtown,3,2,1980,3478,1.5,"$555,000.00 "
"#707 - 5 Rowntree Rd Toronto, ON",Rexdale,3,2.25,2190,107593,2,"$699,950.00 "
"255 Seaton St Toronto, ON",Downtown,3,2.5,2920,8113,2,"$1,088,000.00 "
"45 Valhalla Blvd Toronto, ON",Birch Cliff,3,1,1210,33919,1,"$290,000.00 "
"#917 - 103 The Queensway Ave Toronto, ON",Swansea,3,2.5,2340,10005,1,"$375,000.00 "
"#512 - 35 Bastion St Toronto, ON",Niagara,3,1,1670,4005,1.5,"$460,000.00 "
"102 Mcgillivray Ave Toronto, ON",Nortown,2,1.75,1240,2493,1,"$188,500.00 "
"1 Axsmith Cres Toronto, ON",Don Valley Village,4,2.5,3140,28037,2,"$680,000.00 "
"#1912 - 62 Forest Manor Rd Toronto, ON",Henry Farm,5,1.75,2030,12342,2,"$470,000.00 "
"14 Rosemount Dr Toronto, ON",Ionview,4,2.5,2310,9624,2,"$597,750.00 "
"9 Isaac Devins Blvd Toronto, ON",Humberlea,3,1.75,1260,3328,1,"$570,000.00 "
"#2202 - 88 Grangeway Ave Toronto, ON",Woburn,3,1.75,1540,12600,1,"$272,500.00 "
"#3601 - 2220 Lakeshore Blvd Toronto, ON",Mimico,3,1.75,2080,5969,1,"$329,950.00 "
"#320 - 18 William Carson Cres Toronto, ON",York Mills,4,2.5,3230,16171,2,"$480,000.00 "
"#537 - 665 Kennedy Rd Toronto, ON",Scarborough Junction,3,3.5,4380,6350,2,"$740,500.00 "
"#2112 - 4968 Yonge St Toronto, ON",Lansing,3,3.5,1590,1102,3,"$518,500.00 "
"#2709 - 70 Temperance St Toronto, ON",Downtown,2,1,880,6780,1,"$205,425.00 "
"179 Carolbreen Sq Toronto, ON",Milliken,4,2,1570,9600,1,"$171,800.00 "
"#2708 - 5168 Yonge St Toronto, ON",Willowdale,4,1,1610,2982,1.5,"$535,000.00 "
"#1003 - 763 Bay St Toronto, ON",Downtown,3,2.5,2400,6474,1,"$660,000.00 "
"#1905 - 17 Anndale Dr Toronto, ON",Willowdale,3,2,1450,9132,1,"$391,500.00 "
"#303 - 5229 Dundas St Toronto, ON",Islington - City Centre West,2,1,770,6000,1,"$395,000.00 "
"#1509 - 88 Alton Towers Circ Toronto, ON",Toronto,4,1.75,2100,4400,1.5,"$445,000.00 "
"#2002 - 2 Anndale Dr Toronto, ON",Willowdale,3,2.25,2910,10204,2,"$770,000.00 "
"#613 - 4064 Lawrence Ave Toronto, ON",West Hill,4,2.75,2750,17789,1.5,"$1,450,000.00 "
"#901 - 2756 Old Leslie St Toronto, ON",Bayview Village,3,2.25,2100,8201,1,"$445,000.00 "
"1571-73 Bayview Ave Toronto, ON",Leaside,4,2.25,2160,8811,1,"$260,000.00 "
"#Main Fl - 454 Bloor St Toronto, ON",Midtown Toronto,5,3.5,2320,4960,2,"$822,500.00 "
"1571-73 Bayview Ave Toronto, ON",Leaside,4,2.5,2070,4310,2,"$430,000.00 "
"#2016 - 155 Beecroft Rd Toronto, ON",Willowdale,3,1.75,1060,7875,1,"$212,000.00 "
"#403 - 35 Brian Peck Cres Toronto, ON",Leaside,4,2.25,2010,9603,1,"$660,500.00 "
"#1016 - 35 Bales Ave Toronto, ON",Willowdale,3,3.5,3950,111078,1.5,"$784,000.00 "
"88 Twenty Sixth St Toronto, ON",Long Branch,3,2.5,2010,2287,2,"$453,246.00 "
"#729 - 39 Queens Quay Way Toronto, ON",Downtown,4,3.5,2140,2278,3,"$675,000.00 "
"22 Norman Wesley Way Toronto, ON",Downsview,3,1.75,1320,17390,1,"$199,000.00 "
"25 Parkland Rd Toronto, ON",Birch Cliff,4,1.75,2020,7840,1,"$220,000.00 "
"2 La Rush Dr Toronto, ON",Humber Heights - Westmount,4,2.25,2590,10002,1,"$452,000.00 "
"30 Exeter St Toronto, ON",Carleton Village,2,1,1190,4440,1,"$382,500.00 "
"#305 - 9 Burnhamthorpe Cres Toronto, ON",Islington,3,2.25,1170,1249,3,"$519,950.00 "
"#Loft 2 - 2B Minto St Toronto, ON",Leslieville,2,1,1110,3200,1,"$665,000.00 "
"#815 - 39 Queens Quay Way Toronto, ON",Downtown,5,2.5,2820,9375,1,"$527,700.00 "
"#716 - 169 Fort York Blvd Toronto, ON",Niagara,3,1,1610,8579,1,"$205,000.00 "
"#1605 - 61 Markbrook Lane Toronto, ON",Rexdale,3,1,1060,8097,1,"$420,000.00 "
"#1 - 105 Heath St Toronto, ON",Midtown Toronto,4,2.25,2030,8517,1,"$500,000.00 "
"#514 - 210 Simcoe St Toronto, ON",Downtown,4,2.5,3670,315374,2,"$921,500.00 "
"#724 - 2885 Bayview Ave Toronto, ON",Bayview Village,4,1,2550,4000,2,"$890,000.00 "
"#402 - 323 Richmond St Toronto, ON",Old Town,2,2.5,2420,60984,2,"$430,000.00 "
"90 Browning Ave Toronto, ON",Riverdale,5,2,2260,12500,1,"$258,000.00 "
"#3307 - 21 Widmer St Toronto, ON",Downtown,3,1,1430,3455,1,"$511,000.00 "
"#1108 - 55 Bamburgh Circ Toronto, ON",Steeles,3,2,1360,3090,2,"$532,170.00 "
"42 Rovinelli Rd Toronto, ON",Malvern,3,1,1110,5000,1.5,"$560,000.00 "
"#907 - 5791 Yonge St Toronto, ON",Newtonbrook,3,1,1250,8200,1,"$282,950.00 "
"592 The Queensway Toronto, ON",The Queensway,4,3.25,5180,19850,2,"$2,250,000.00 "
"44 Barkwood Cres Toronto, ON",Hillcrest Village,1,1,700,5100,1,"$350,000.00 "
"#3006 - 121 Mcmahon Dr Toronto, ON",Bayview Village,3,1,1180,7669,1,"$215,000.00 "
"#2604 - 1 King St Toronto, ON",Weston,5,3.5,3960,25245,2,"$650,000.00 "
"#713 - 15 Greenview Ave Toronto, ON",Newtonbrook,4,2.75,2640,7500,1,"$320,000.00 "
"#1711 - 45 Charles St Toronto, ON",Downtown,3,2,1270,7198,1.5,"$247,000.00 "
"#2011 - 215 Fort York Blvd Toronto, ON",Niagara,4,1.75,1760,11180,1,"$320,000.00 "
"#4004 - 21 Grenville St Toronto, ON",Downtown,5,2.25,2060,8632,1,"$255,000.00 "
"#1310 - 8 Mercer St Toronto, ON",Downtown,3,1.75,1780,9660,1,"$438,000.00 "
"#201 - 3 Pemberton Ave Toronto, ON",Newtonbrook,3,2.5,3400,16603,2,"$900,000.00 "
"#1103 - 3 Marine Parade Dr Toronto, ON",Mimico,3,2.75,1910,7280,1,"$441,000.00 "
"61 Boydwood Lane Toronto, ON",Rouge,3,2,2020,38332,1,"$420,000.00 "
"75 Highland Cres Toronto, ON",York Mills,3,1.75,1580,7000,1,"$370,000.00 "
"#816 - 210 Victoria St Toronto, ON",Downtown,2,1.75,1340,7250,1,"$269,950.00 "
"17 Tineta Cres Toronto, ON",White Haven,4,2.5,2680,4499,2,"$807,100.00 "
"#612 - 800 Lawrence Ave Toronto, ON",Lawrence Heights,3,2.5,2680,9750,1,"$653,000.00 "
"#5 - 1500 Bathurst St Toronto, ON",Casa Loma,3,2,1370,8336,1,"$371,500.00 "
"16 Stanley Avenue Kitchener, ON",Bridgeport East,3,1.75,1560,21000,1,"$284,000.00 "
"548 Pinnacle Drive Kitchener, ON",Doon South,3,1.75,2160,7140,1,"$272,000.00 "
"198 Newbury Drive Kitchener, ON",Forest Heights,3,1.5,1340,7912,1.5,"$313,000.00 "
"1110 Fairway Road Kitchener, ON",Grand River South,4,2.5,3880,35003,2,"$917,500.00 "
"468 Doon South Drive Kitchener, ON",Doon South,4,2.25,2590,8190,2,"$673,000.00 "
"202 Silver Aspen Crescent Kitchener, ON",Forest Heights,3,2.5,1120,1100,2,"$425,000.00 "
"205 Highland Crescent Kitchener, ON",Victoria Hills,5,2.75,1970,5400,1,"$399,950.00 "
"24 Mooregate Crescent Kitchener, ON",Victoria Hills,3,1,1220,4800,1,"$385,000.00 "
"92 Claycroft Crescent Kitchener, ON",Forest Heights,3,1.5,1950,7560,1,"$269,950.00 "
"84 Bagot St Guelph, ON",Onward Willow,2,1,1350,8220,1,"$330,000.00 "
"326 Cole Rd Guelph, ON",Hanlon Creek,3,2.5,1670,5797,2,"$260,000.00 "
"33 Old Colony Tr Guelph, ON",Guelph,4,3,2380,5125,1.5,"$470,000.00 "
"47 Edgehill Dr Guelph, ON",Exhibition Park,4,3,2440,9600,2,"$589,000.00 "
"150 Victoria Rd Guelph, ON",Guelph,2,1.5,1050,3419,2,"$163,500.00 "
"183 ARTHUR ST N Guelph, ON",Waverley,4,2.75,3130,13412,2,"$835,000.00 "
"96 Silurian Drive Guelph, ON",Grange Hill East,5,3,4090,12850,1,"$1,095,000.00 "
"76 Washburn Drive Guelph, ON",Grange Hill East,4,1.75,1490,10000,1,"$269,000.00 "
"110 SIMMONDS Drive Guelph, ON",Waverley,3,2.5,1900,8744,2,"$560,000.00 "
"293 Paisley Road Guelph, ON",Onward Willow,4,1,1330,2400,1.5,"$615,000.00 "
"68 240 LONDON Road W Guelph, ON",Exhibition Park,3,2.25,2230,10026,1,"$585,188.00 "
"65 College Avenue W Guelph, ON",Old University,3,1.75,1650,9480,1,"$305,000.00 "
"91 Conroy Crescent Guelph, ON",Guelph,3,1,1190,8820,1,"$166,950.00 "
"33 REID Court Guelph, ON",Hanlon Creek,3,2.5,2140,9897,1,"$799,000.00 "
"200 Woolwich Street Guelph, ON",Guelph,3,2.5,2180,7508,1,"$400,000.00 "
"41 1/2 Nottingham Street Guelph, ON",Old City,3,1,1060,10228,1,"$230,000.00 "
"215 Suffolk Street W Guelph, ON",Exhibition Park,3,2.5,1690,5025,2,"$256,883.00 "
"40 Silvercreek Parkway Guelph, ON",Onward Willow,4,2,1970,6480,1.5,"$423,000.00 "
"31 Schroder Crescent Guelph, ON",Grange Hill East,3,2.5,2150,4084,2,"$465,000.00 "
"92 Arthur Street Guelph, ON",Guelph,3,2.5,1910,66211,2,"$440,000.00 "
"107 Ferguson Street Guelph, ON",Two Rivers,3,1.75,1350,155073,1,"$385,000.00 "
"360 YORK RD Guelph, ON",Two Rivers,3,1,860,11725,1,"$210,000.00 "
"113 49 RHONDA Road Guelph, ON",West Willow Woods,3,2.5,1940,14952,2,"$297,000.00 "
"66 June Avenue Guelph, ON",Guelph,3,1,1010,5000,1,"$470,000.00 "
"70 Downey Road Guelph, ON",Kortright Hills,3,1.5,1300,7370,1,"$226,500.00 "
"84 Bagot Street Guelph, ON",Onward Willow,3,1,910,8450,1,"$274,250.00 "
"33 Old Colony Trail Guelph, ON",Guelph,4,1.75,2480,11010,1,"$840,000.00 "
"35 Kron Drive Guelph, ON",Hanlon Creek,3,2.5,2440,4587,2,"$677,900.00 "
"89 Davis Street Guelph, ON",Guelph,3,1,1010,5864,1,"$425,000.00 "
"194 Couling Crescent Guelph, ON",Guelph,2,0.75,900,9600,1,"$180,250.00 "
"7393 Wellington Rd 51 . Ariss, ON",,6,3,2300,3404,2,"$464,000.00 "
"69 Regal Road Guelph, ON",Guelph,4,2.25,1550,7579,2,"$320,000.00 "
"3537 RAVENSWOOD Court Burlington, ON",Burlington,3,2.25,1270,1566,2,"$625,504.00 "
"3311 HANNIBAL Road Burlington, ON",Burlington,4,2.5,2240,12032,1,"$592,500.00 "
"# 309 - 399 ELIZABETH ST Burlington, ON",Burlington,3,2.5,2714,17936,2,"$465,000.00 "
"6420 CHELSEA RD Burlington, ON",Burlington,4,2.75,1720,6270,2,"$477,000.00 "
"1015 PLAINS VIEW Avenue Burlington, ON",Aldershot,2,1,850,16400,1,"$280,000.00 "
"1421 WALKER&#39;S Line Burlington, ON",Burlington,5,3,3300,33474,1,"$1,505,000.00 "
"623 OXFORD Road Burlington, ON",Burlington,3,2.5,2250,5692,2,"$445,838.00 "
"5134 Des Jardines Drive Burlington, ON",Burlington,2,2.25,3900,14864,1,"$1,072,000.00 "
"2416 Guildstone Cres Oakville, ON",West Oak Trails,2,1.5,1320,10800,1,"$467,000.00 "
"153 Dornie Rd Oakville, ON",Oakville,4,2.5,2760,6440,2,"$686,000.00 "
"28 Sixteen Mile Dr Oakville, ON",Oakville,3,2,1750,9750,1,"$279,950.00 "
"1218 Lambeth Rd Oakville, ON",Oakville,4,2.25,2330,19436,2,"$527,000.00 "
"2230 Rochester Circ Oakville, ON",Palermo West,3,2.25,2220,16020,1,"$325,000.00 "
"2172 Parkmount Blvd Oakville, ON",Oakville,3,2.25,2020,8379,2,"$328,000.00 "
"2491 Hemmford Dr Oakville, ON",West Oak Trails,3,2.25,1250,7500,1,"$390,000.00 "
"#15 - 1300 Hampton St Oakville, ON",Oakville,2,2,1510,6516,1,"$479,950.00 "
"2477 Old Bronte Rd Oakville, ON",West Oak Trails,4,2.25,1720,9753,1,"$264,950.00 "
"2477 Old Bronte Rd Oakville, ON",West Oak Trails,3,1,1430,15246,1,"$235,000.00 "
"#5 - 1212 Kirstie Crt Oakville, ON",Castle Green,3,2.5,1480,4729,2,"$516,500.00 "
"537 Weir Ave Oakville, ON",West Oakville,2,1.75,1450,15798,2,"$655,000.00 "
"#310 - 205 Lakeshore Rd Oakville, ON",Oakville,4,2.75,2280,15347,1,"$500,000.00 "
"1293 Devon Rd Oakville, ON",Oakville,6,2.75,2940,7350,1,"$315,000.00 "
"16 Ennisclare Dr Oakville, ON",Oakville,2,1,1000,10200,1,"$213,000.00 "
"#Ph2202 - 1359 White Oaks Blvd Oakville, ON",Oakville,3,1.5,2480,5280,1.5,"$475,000.00 "
"#522 - 2480 Prince Michael Dr Oakville, ON",Oakville,5,4,3760,28040,2,"$1,025,000.00 "
"#403 - 205 Lakeshore Rd Oakville, ON",Oakville,3,2,2220,94300,1,"$416,000.00 "
"202 - 2301 PARKHAVEN Boulevard Oakville, ON",Uptown Core,4,1,1970,4740,1.5,"$410,000.00 "
"1225 Lambeth Road Oakville, ON",Oakville,3,3.5,3830,221284,2,"$800,000.00 "
"#210 - 1490 BISHOPS GATE Oakville, ON",Glen Abbey,6,2.5,4410,14034,1,"$472,000.00 "
"208 RIVER OAKS BLVD E Oakville, ON",Oakville,3,1.75,1430,8505,1,"$225,000.00 "
"2306 WHISTLING SPRINGS CRES Oakville, ON",West Oak Trails,2,1,830,6000,1,"$210,000.00 "
"185 Robinson Street Oakville, ON",Oakville,2,1,1430,5000,1.5,"$455,000.00 "
"205 Lakeshore Road Oakville, ON",Oakville,3,1,1300,8316,1,"$225,000.00 "
"146 Wedgewood Drive Oakville, ON",Oakville,2,1,1030,3060,1,"$480,000.00 "
"1359 White Oaks Boulevard Oakville, ON",Oakville,3,2.5,2740,11872,2,"$363,000.00 "
"109 BURLOAK Drive Oakville, ON",Bronte,4,2.5,3650,8354,1,"$2,400,000.00 "
"2428 EIGHTH LINE Oakville, ON",Oakville,2,1.5,720,5120,1,"$181,000.00 "
"400 CARRIER Lane Oakville, ON",Oakville,4,2,2010,7312,1,"$250,000.00 "
"#61 - 2350 GRAND RAVINE DR Oakville, ON",Oakville,3,1.75,1560,3000,1,"$481,000.00 "
"1207 Wood Place Oakville, ON",West Oakville,3,2,1810,7209,1,"$260,000.00 "
"1 2480 Post Road Oakville, ON",Uptown Core,4,2.5,3360,7685,2,"$455,000.00 "
"385 Sandlewood Road Oakville, ON",West Oakville,3,2.25,1510,36224,2,"$415,000.00 "
"2141 Galena Crescent Oakville, ON",Oakville,3,1,1400,3538,1,"$349,500.00 "
"3404 Kinglet Court Oakville, ON",Bronte,3,2.5,1730,7442,2,"$245,000.00 "
"2147 NIGHTSTAR DR Oakville, ON",Westmount,2,2,1420,9191,1.5,"$592,500.00 "
"2486 OLD BRONTE Road Oakville, ON",West Oak Trails,4,1.75,2360,7620,1,"$385,000.00 "
"316 Wendy Lane Oakville, ON",West Oakville,3,1.75,1580,11455,1,"$315,000.00 "
"280 Sarah Cline Drive Oakville, ON",Oakville,3,1,1230,10170,1,"$255,000.00 "
"179 Gatwick Drive Oakville, ON",Uptown Core,4,2.5,2460,4425,2,"$693,000.00 "
"153 Dornie Road Oakville, ON",Oakville,3,1,1660,4400,1.5,"$780,000.00 "
"#525 - 380 MACPHERSON AVE Toronto, ON",Midtown Toronto,3,1.75,1270,8470,1,"$237,000.00 "
"#2704 - 103 THE QUEENSWAY WAY Toronto, ON",Swansea,3,2.25,2100,40510,2,"$525,000.00 "
"#725 - 10 CAPREOL CRT Toronto, ON",Downtown,2,1,770,5040,1,"$425,000.00 "
"#2103 - 151 DAN LECKIE WAY Toronto, ON",Downtown,1,0.75,760,10079,1,"$369,900.00 "
"1453 GERRARD ST E Toronto, ON",Leslieville,4,2.5,1700,7280,2,"$290,000.00 "
"#1407 - 914 YONGE ST Toronto, ON",Midtown Toronto,3,1,1120,10701,1,"$285,000.00 "
"77 MCGILL ST Toronto, ON",Downtown,2,1,1070,4500,1,"$415,000.00 "
"#307 - 20 BLUE JAYS WAY Toronto, ON",Downtown,3,2.5,2070,9900,1,"$272,500.00 "
"#902 - 150 EAST LIBERTY ST Toronto, ON",Liberty Village,4,3.25,5050,20100,1.5,"$2,900,000.00 "
"#511 - 44 GERRARD ST W Toronto, ON",Downtown,4,4.75,5310,57346,2,"$1,365,000.00 "
"#Th6 - 6 PIRANDELLO ST Toronto, ON",King West Village,2,1,1040,7538,1,"$436,000.00 "
